open,high,low,close,volume,ema_5_ratio,ema_10_ratio,ema_20_ratio,macd,macd_hist,atr_ratio,rsi_14,volume_ratio,obv,return_1d,return_5d,volatility_20d,date,target_return_5d,target_direction
20.1,20.8,19.94,20.2,124411418,-0.005766093425256802,-0.03187101220473787,-0.04128020535242649,0.1653585790885188,-0.5734632489288222,0.05597595473833098,37.991266375545855,0.45237866177917596,5812117067.0,0.024340770791074995,-0.019417475728155442,0.043487896746972725,2020-09-28,0.07425742574257432,1
20.8,20.8,20.0,20.05,89582316,-0.008804602944979645,-0.032186840117308546,-0.043992727020770395,0.07723707891763354,-0.529267799279766,0.05318845742785894,38.62375138734739,0.3442410260302956,5722534751.0,-0.007425742574257321,-0.019559902200488977,0.03716968641321607,2020-09-29,0.03990024937655856,1
20.5,21.15,20.15,20.45,90010677,0.0072866015235333315,-0.010561970374828866,-0.0226005435563279,0.039224654807480164,-0.4538241787119355,0.05179881243450926,38.96247240618102,0.3710272228639176,5812545428.0,0.01995012468827917,-0.01918465227817756,0.03768854807119489,2020-09-30,0.02444987775061125,1
21.1,21.15,20.25,20.8,70176501,0.016218226381124357,0.005207565856566454,-0.005316129130843783,0.03691606435300088,-0.36490621533313183,0.050412087912087906,35.772357723577244,0.31031626687133834,5882721929.0,0.017114914425427896,0.048387096774193505,0.03543382976720055,2020-10-05,0.09134615384615374,1
21.05,21.7,20.95,21.4,100924903,0.029900989702915215,0.027812079658502187,0.021103341428243327,0.08254989161113357,-0.25541791045999934,0.04833110814419226,37.93490460157126,0.5222414306234595,5983646832.0,0.028846153846153744,0.0851926977687627,0.0356178261638975,2020-10-06,0.08644859813084116,1
21.4,21.8,20.9,21.7,79640419,0.029128724606748868,0.03428101885747181,0.031937015637163446,0.14129377460128012,-0.15733922197588224,0.04585253456221199,45.9425717852684,0.4548744293587754,6063287251.0,0.014018691588784993,0.07425742574257432,0.035838131715071345,2020-10-07,0.034562211981566726,1
21.5,21.6,20.3,20.85,194565470,-0.007483073303423682,-0.005104933395505884,-0.007682642544464491,0.11790173107959134,-0.14458501239805682,0.05046248715313464,38.770685579196225,1.1622896330141879,5868721781.0,-0.03917050691244228,0.03990024937655856,0.03320158765048848,2020-10-08,0.11031175059952014,1
21.3,21.45,20.85,20.95,115791835,-0.0018168491549280796,-0.00027267922854412596,-0.002645651197689114,0.10620822996055068,-0.125022810813678,0.04698261166041595,47.538677918424746,0.7213181922362393,5984513616.0,0.004796163069544335,0.02444987775061125,0.033152297978576696,2020-10-09,0.059665871121718395,1
21.0,22.75,21.0,22.7,242412550,0.05293650589675747,0.06708750652953577,0.07242672228611968,0.23543744441189318,0.0033651229101315794,0.04634990560100693,54.007398273736115,1.4725335861986448,6226926166.0,0.0835322195704058,0.09134615384615374,0.038161171448957455,2020-10-12,-0.022026431718061623,0
22.9,23.25,22.15,23.25,209878991,0.050966057363990735,0.07477982422573914,0.08821143229720363,0.3778770005271994,0.1166437432203502,0.043410138248847936,68.37725381414701,1.2567154479058396,6436805157.0,0.02422907488986792,0.08644859813084116,0.03770273796423564,2020-10-14,-0.03655913978494629,0
23.0,23.55,22.3,22.45,142249601,0.00982072830008085,0.030714678135697948,0.04571157284620142,0.4213509889306195,0.12809418529901623,0.04591154947502387,62.72264631043257,0.8487641092493502,6294555556.0,-0.03440860215053765,0.034562211981566726,0.03837366437809909,2020-10-15,-0.00445434298440972,0
